id_linha,id_pedido,data_venda,cliente_id,produto,categoria,quantidade,preco_unitario,desconto_percentual,forma_pagamento,cidade,regiao,status_pedido
LIN-000038,PED-00019,2024-03-02,CLI-0161,Organizador de Mesa,Casa e Escritório,4,15.35,0,Cartão de débito,Porto,Norte,Concluído
LIN-000039,PED-00020,2025-04-08,CLI-0318,Caderno A5,Papelaria,1,6.50,0,MB WAY,Porto,Norte,Concluído
LIN-000040,PED-00021,2024-11-16,CLI-0344,Auriculares Bluetooth,Eletrónica,1,39.90,5,Cartão de débito,Cascais,Lisboa e Vale do Tejo,Cancelado
LIN-000041,PED-00021,2024-11-16,CLI-0344,Garrafa Térmica,Acessórios,1,21.90,15,Cartão de débito,Cascais,Lisboa e Vale do Tejo,Cancelado
LIN-000042,PED-00021,2024-11-16,CLI-0344,"Monitor 24""",Eletrónica,3,179.90,0,Cartão de débito,Cascais,Lisboa e Vale do Tejo,Cancelado
LIN-000043,PED-00022,2024-12-09,CLI-0279,Auriculares Bluetooth,Eletrónica,1,38.70,15,MB WAY,Setúbal,Lisboa e Vale do Tejo,Devolvido
LIN-000044,PED-00022,2024-12-09,CLI-0279,Candeeiro de Mesa,Casa e Escritório,1,27.06,15,MB WAY,Setúbal,Lisboa e Vale do Tejo,Devolvido
LIN-000045,PED-00023,2025-07-27,CLI-0080,Caderno A5,Papelaria,1,6.50,10,MB WAY,Coimbra,Centro,Concluído
LIN-000046,PED-00024,2025-10-11,CLI-0048,Webcam Full HD,Eletrónica,2,54.90,0,MB WAY,Sintra,Lisboa e Vale do Tejo,Concluído
LIN-000047,PED-00025,2024-12-11,CLI-0362,Webcam Full HD,Eletrónica,3,56.55,5,Cartão de crédito,Leiria,Centro,Concluído
LIN-000048,PED-00025,2024-12-11,CLI-0362,Candeeiro de Mesa,Casa e Escritório,1,27.06,0,Cartão de crédito,Leiria,Centro,Concluído
LIN-000049,PED-00025,2024-12-11,CLI-0362,Teclado Mecânico,Eletrónica,3,77.50,15,Cartão de crédito,Leiria,Centro,Concluído
LIN-000050,PED-00026,2024-06-29,CLI-0128,Extensão Elétrica,Casa e Escritório,3,18.90,10,Cartão de crédito,Cascais,Lisboa e Vale do Tejo,Concluído
LIN-000051,PED-00026,2024-06-29,CLI-0128,Webcam Full HD,Eletrónica,1,54.90,5,Cartão de crédito,Cascais,Lisboa e Vale do Tejo,Concluído
LIN-000052,PED-00026,2024-06-29,CLI-0128,Coluna Bluetooth,Eletrónica,1,69.90,0,Cartão de crédito,Cascais,Lisboa e Vale do Tejo,Concluído
LIN-000053,PED-00027,2025-09-01,CLI-0056,Garrafa Térmica,Acessórios,1,21.90,0,Cartão de crédito,Viseu,Centro,Concluído
LIN-000054,PED-00028,2025-05-25,CLI-0205,Organizador de Mesa,Casa e Escritório,1,15.35,0,Transferência,Aveiro,Centro,Devolvido
LIN-000055,PED-00029,2024-01-30,CLI-0134,Suporte para Portátil,Acessórios,1,34.90,0,Dinheiro,Guimarães,Norte,Concluído
LIN-000056,PED-00030,2025-12-24,CLI-0060,Auriculares Bluetooth,Eletrónica,4,41.10,10,Cartão de débito,Viseu,Centro,Concluído
LIN-000057,PED-00030,2025-12-24,CLI-0060,Organizador de Mesa,Casa e Escritório,4,14.90,5,Cartão de débito,Viseu,Centro,Concluído
LIN-000058,PED-00031,2024-03-09,CLI-0341,Pack Canetas Gel,Papelaria,1,4.90,0,MB WAY,Portimão,Algarve,Concluído
LIN-000059,PED-00032,2025-06-21,CLI-0284,Carregador USB-C,Eletrónica,1,30.80,10,Cartão de débito,Braga,Norte,Cancelado
LIN-000060,PED-00032,2025-06-21,CLI-0284,Almofada Ergonómica,Casa e Escritório,1,32.90,0,Cartão de débito,Braga,Norte,Cancelado
LIN-000061,PED-00033,2025-03-28,CLI-0336,Carregador USB-C,Eletrónica,1,30.80,0,Cartão de débito,Aveiro,Centro,Concluído
LIN-000062,PED-00033,2025-03-28,CLI-0336,Rato Sem Fios,Eletrónica,3,24.90,5,Cartão de débito,Aveiro,Centro,Concluído
LIN-000063,PED-00034,2024-07-11,CLI-0102,Rato Sem Fios,Eletrónica,1,25.65,0,Cartão de crédito,Braga,Norte,Devolvido
LIN-000064,PED-00034,2024-07-11,CLI-0102,Garrafa Térmica,Acessórios,2,21.90,0,Cartão de crédito,Braga,Norte,Devolvido
LIN-000065,PED-00035,2024-05-11,CLI-0353,Suporte para Portátil,Acessórios,1,35.95,0,MB WAY,Porto,Norte,Concluído
LIN-000066,PED-00036,2025-03-10,CLI-0063,Extensão Elétrica,Casa e Escritório,1,19.47,0,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000067,PED-00036,2025-03-10,CLI-0063,Agenda Semanal,Papelaria,1,12.90,0,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000068,PED-00036,2025-03-10,CLI-0063,Garrafa Térmica,Acessórios,2,21.90,5,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000069,PED-00036,2025-03-10,CLI-0063,Organizador de Mesa,Casa e Escritório,2,14.90,0,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000070,PED-00037,2024-03-15,CLI-0147,Webcam Full HD,Eletrónica,1,54.90,5,Cartão de crédito,Vila Real,Norte,Concluído
LIN-000071,PED-00038,2024-03-04,CLI-0209,Mochila Executiva,Acessórios,3,51.40,0,Cartão de débito,Aveiro,Centro,Concluído
LIN-000072,PED-00038,2024-03-04,CLI-0209,Almofada Ergonómica,Casa e Escritório,1,32.90,0,Cartão de débito,Aveiro,Centro,Concluído
LIN-000073,PED-00038,2024-03-04,CLI-0209,Auriculares Bluetooth,Eletrónica,1,39.90,0,Cartão de débito,Aveiro,Centro,Concluído
LIN-000074,PED-00039,2025-07-20,CLI-0410,Auriculares Bluetooth,Eletrónica,1,39.90,5,Cartão de crédito,Sintra,Lisboa e Vale do Tejo,Concluído
LIN-000075,PED-00040,2025-10-07,CLI-0066,Auriculares Bluetooth,Eletrónica,2,39.90,10,Cartão de débito,Ponta Delgada,Ilhas,Concluído
LIN-000076,PED-00040,2025-10-07,CLI-0066,Rato Sem Fios,Eletrónica,1,24.90,0,Cartão de débito,Ponta Delgada,Ilhas,Concluído
LIN-000077,PED-00041,2024-06-30,CLI-0168,Suporte para Portátil,Acessórios,1,35.95,0,Transferência,Aveiro,Centro,Concluído
LIN-000078,PED-00041,2024-06-30,CLI-0168,Caderno A5,Papelaria,4,6.50,5,Transferência,Aveiro,Centro,Concluído
LIN-000079,PED-00041,2024-06-30,CLI-0168,Rato Sem Fios,Eletrónica,2,24.15,5,Transferência,Aveiro,Centro,Concluído
LIN-000080,PED-00041,2024-06-30,CLI-0168,Bolsa para Portátil,Acessórios,4,27.90,10,Transferência,Aveiro,Centro,Concluído
LIN-000081,PED-00042,2025-04-28,CLI-0123,Caderno A5,Papelaria,2,6.50,5,MB WAY,Braga,Norte,Concluído
LIN-000082,PED-00043,2025-12-14,CLI-0368,Auriculares Bluetooth,Eletrónica,4,41.10,10,MB WAY,Braga,Norte,Cancelado
LIN-000083,PED-00044,2025-12-12,CLI-0204,Coluna Bluetooth,Eletrónica,3,72.00,10,Cartão de crédito,Portimão,Algarve,Concluído
LIN-000084,PED-00044,2025-12-12,CLI-0204,"Monitor 24""",Eletrónica,3,185.30,10,Cartão de crédito,Portimão,Algarve,Concluído
LIN-000085,PED-00044,2025-12-12,CLI-0204,Pack Canetas Gel,Papelaria,1,4.90,10,Cartão de crédito,Portimão,Algarve,Concluído
LIN-000086,PED-00045,2024-03-08,CLI-0332,Marcadores Coloridos,Papelaria,2,8.90,5,Transferência,Aveiro,Centro,Concluído
LIN-000087,PED-00046,2024-12-08,CLI-0376,Bolsa para Portátil,Acessórios,3,28.74,0,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000088,PED-00046,2024-12-08,CLI-0376,Garrafa Térmica,Acessórios,3,21.24,0,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000089,PED-00046,2024-12-08,CLI-0376,Suporte para Portátil,Acessórios,1,34.90,5,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000090,PED-00047,2025-05-31,CLI-0173,Caderno A5,Papelaria,1,6.70,5,Transferência,Porto,Norte,Concluído
LIN-000091,PED-00048,2024-08-25,CLI-0006,Candeeiro de Mesa,Casa e Escritório,2,27.90,5,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000092,PED-00049,2025-01-10,CLI-0406,Almofada Ergonómica,Casa e Escritório,1,33.89,0,Cartão de crédito,Porto,Norte,Concluído
LIN-000093,PED-00050,2024-12-03,CLI-0382,Coluna Bluetooth,Eletrónica,1,69.90,0,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000094,PED-00051,2025-07-27,CLI-0391,Almofada Ergonómica,Casa e Escritório,5,33.89,0,Cartão de crédito,Setúbal,Lisboa e Vale do Tejo,Concluído
LIN-000095,PED-00052,2025-12-22,CLI-0100,Webcam Full HD,Eletrónica,1,53.25,5,Cartão de débito,Coimbra,Centro,Concluído
LIN-000096,PED-00052,2025-12-22,CLI-0100,,Papelaria,2,6.50,10,Cartão de débito,Coimbra,Centro,Concluído
LIN-000097,PED-00053,2025-08-04,CLI-0053,Carregador USB-C,Eletrónica,1,29.90,0,Cartão de débito,Albufeira,Algarve,Concluído
LIN-000098,PED-00053,2025-08-04,CLI-0053,Teclado Mecânico,Eletrónica,1,79.90,0,Cartão de débito,Albufeira,Algarve,Concluído
LIN-000099,PED-00054,2025-05-03,CLI-0028,Coluna Bluetooth,Eletrónica,1,69.90,5,MB WAY,Braga,Norte,Cancelado
LIN-000100,PED-00055,2025-09-04,CLI-0116,Almofada Ergonómica,Casa e Escritório,5,32.90,0,Cartão de débito,Beja,Alentejo,Concluído
LIN-000101,PED-00056,2024-03-01,CLI-0379,Rato Sem Fios,Eletrónica,1,24.90,0,MB WAY,Braga,Norte,Concluído
LIN-000102,PED-00057,2024-05-18,CLI-0210,,Papelaria,2,4.90,0,MB WAY,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000103,PED-00058,2024-07-19,CLI-0136,Suporte para Portátil,Acessórios,1,34.90,10,MB WAY,Beja,Alentejo,Concluído
LIN-000104,PED-00058,2024-07-19,CLI-0136,"Monitor 24""",Eletrónica,3,174.50,0,MB WAY,Beja,Alentejo,Concluído
LIN-000105,PED-00058,2024-07-19,CLI-0136,Candeeiro de Mesa,Casa e Escritório,3,28.74,5,MB WAY,Beja,Alentejo,Concluído
LIN-000106,PED-00059,2025-03-19,CLI-0148,Caderno A5,Papelaria,1,6.50,0,Cartão de débito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000107,PED-00060,2025-04-10,CLI-0222,Almofada Ergonómica,Casa e Escritório,2,31.91,15,MB WAY,Setúbal,Lisboa e Vale do Tejo,Concluído
LIN-000108,PED-00061,2025-06-03,CLI-0138,Garrafa Térmica,Acessórios,1,22.56,0,MB WAY,Sintra,Lisboa e Vale do Tejo,Concluído
LIN-000109,PED-00061,2025-06-03,CLI-0138,Caderno A5,Papelaria,3,6.30,0,MB WAY,Sintra,Lisboa e Vale do Tejo,Concluído
LIN-000110,PED-00062,2024-11-23,CLI-0165,Pack Canetas Gel,Papelaria,3,5.05,0,Transferência,Cascais,Lisboa e Vale do Tejo,Concluído
LIN-000111,PED-00062,2024-11-23,CLI-0165,Mochila Executiva,Acessórios,1,49.90,0,Transferência,Cascais,Lisboa e Vale do Tejo,Concluído
LIN-000112,PED-00063,2025-12-17,CLI-0207,Garrafa Térmica,Acessórios,1,21.90,10,MB WAY,Albufeira,Algarve,Concluído
LIN-000113,PED-00063,2025-12-17,CLI-0207,Suporte para Portátil,Acessórios,1,34.90,10,MB WAY,Albufeira,Algarve,Concluído
LIN-000114,PED-00063,2025-12-17,CLI-0207,Teclado Mecânico,Eletrónica,1,82.30,0,MB WAY,Albufeira,Algarve,Concluído
LIN-000115,PED-00064,2024-09-04,CLI-0358,Carregador USB-C,Eletrónica,1,29.90,0,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000116,PED-00064,2024-09-04,CLI-0358,Pack Canetas Gel,Papelaria,5,4.75,0,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000117,PED-00064,2024-09-04,CLI-0358,Candeeiro de Mesa,Casa e Escritório,1,27.90,0,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000118,PED-00065,2025-07-06,CLI-0261,Garrafa Térmica,Acessórios,1,21.90,10,Cartão de débito,Setúbal,Lisboa e Vale do Tejo,Concluído
LIN-000119,PED-00065,2025-07-06,CLI-0261,Candeeiro de Mesa,Casa e Escritório,1,27.90,10,Cartão de débito,Setúbal,Lisboa e Vale do Tejo,Concluído
LIN-000120,PED-00066,2024-08-25,CLI-0405,Auriculares Bluetooth,Eletrónica,1,39.90,10,Cartão de crédito,Faro,Algarve,Concluído
LIN-000121,PED-00067,2025-03-28,CLI-0338,Candeeiro de Mesa,Casa e Escritório,2,27.90,0,Cartão de crédito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000122,PED-00068,2024-09-29,CLI-0097,Suporte para Portátil,Acessórios,2,34.90,0,Cartão de crédito,Ponta Delgada,Ilhas,Concluído
LIN-000123,PED-00068,2024-09-29,CLI-0097,Teclado Mecânico,Eletrónica,2,79.90,0,Cartão de crédito,Ponta Delgada,Ilhas,Concluído
LIN-000124,PED-00068,2024-09-29,CLI-0097,Agenda Semanal,Papelaria,1,13.29,15,Cartão de crédito,Ponta Delgada,Ilhas,Concluído
LIN-000125,PED-00069,2024-10-06,CLI-0052,Webcam Full HD,Eletrónica,3,54.90,0,Cartão de débito,Albufeira,Algarve,Concluído
LIN-000126,PED-00069,2024-10-06,CLI-0052,Suporte para Portátil,Acessórios,2,34.90,0,Cartão de débito,Albufeira,Algarve,Concluído
LIN-000127,PED-00070,2025-06-18,CLI-0333,Agenda Semanal,Papelaria,3,12.51,5,Cartão de crédito,Porto,Norte,Concluído
LIN-000128,PED-00070,2025-06-18,CLI-0333,Bolsa para Portátil,Acessórios,1,27.90,15,Cartão de crédito,Porto,Norte,Concluído
LIN-000129,PED-00071,2025-07-30,CLI-0223,Carregador USB-C,Eletrónica,2,29.00,0,MB WAY,Ponta Delgada,Ilhas,Concluído
LIN-000130,PED-00072,2025-09-07,CLI-0151,Carregador USB-C,Eletrónica,1,29.00,5,Cartão de débito,Viseu,Centro,Concluído
LIN-000131,PED-00073,2024-11-09,CLI-0350,Caderno A5,Papelaria,1,6.30,15,Transferência,Coimbra,Centro,Concluído
LIN-000132,PED-00073,2024-11-09,CLI-0350,Garrafa Térmica,Acessórios,1,21.90,10,Transferência,Coimbra,Centro,Concluído
LIN-000133,PED-00074,2024-05-19,CLI-0227,Caderno A5,Papelaria,5,6.50,0,Dinheiro,Portimão,Algarve,Concluído
LIN-000134,PED-00074,2024-05-19,CLI-0227,Garrafa Térmica,Acessórios,1,21.90,0,Dinheiro,Portimão,Algarve,Concluído
LIN-000135,PED-00074,2024-05-19,CLI-0227,Pack Canetas Gel,Papelaria,5,4.90,0,Dinheiro,Portimão,Algarve,Concluído
LIN-000136,PED-00074,2024-05-19,CLI-0227,Hub USB-C,Eletrónica,3,44.90,0,Dinheiro,Portimão,Algarve,Concluído
LIN-000137,PED-00075,2025-03-17,CLI-0352,Pack Canetas Gel,Papelaria,2,4.90,0,Dinheiro,Beja,Alentejo,Concluído
LIN-000138,PED-00075,2025-03-17,CLI-0352,Coluna Bluetooth,Eletrónica,1,69.90,5,Dinheiro,Beja,Alentejo,Concluído
LIN-000139,PED-00076,2025-07-10,CLI-0338,Teclado Mecânico,Eletrónica,2,77.50,0,Cartão de crédito,Cascais,Lisboa e Vale do Tejo,Concluído
LIN-000140,PED-00076,2025-07-10,CLI-0338,Pack Canetas Gel,Papelaria,2,4.75,10,Cartão de crédito,Cascais,Lisboa e Vale do Tejo,Concluído
LIN-000141,PED-00077,2024-10-02,CLI-0213,Organizador de Mesa,Casa e Escritório,1,14.90,15,Cartão de crédito,Guimarães,Norte,Concluído
LIN-000142,PED-00077,2024-10-02,CLI-0213,Extensão Elétrica,Casa e Escritório,1,18.90,5,Cartão de crédito,Guimarães,Norte,Concluído
LIN-000143,PED-00077,2024-10-02,CLI-0213,Caderno A5,Papelaria,1,6.30,0,Cartão de crédito,Guimarães,Norte,Concluído
LIN-000144,PED-00077,2024-10-02,CLI-0213,Carregador USB-C,Eletrónica,4,29.90,15,Cartão de crédito,Guimarães,Norte,Concluído
LIN-000145,PED-00078,2025-09-13,CLI-0188,Marcadores Coloridos,Papelaria,2,8.90,0,Cartão de débito,Porto,Norte,Concluído
LIN-000146,PED-00079,2025-09-25,CLI-0191,Candeeiro de Mesa,Casa e Escritório,2,27.90,10,Cartão de crédito,Braga,Norte,Concluído
LIN-000147,PED-00079,2025-09-25,CLI-0191,Agenda Semanal,Papelaria,1,12.90,0,Cartão de crédito,Braga,Norte,Concluído
LIN-000148,PED-00079,2025-09-25,CLI-0191,Coluna Bluetooth,Eletrónica,1,67.80,0,Cartão de crédito,Braga,Norte,Concluído
LIN-000149,PED-00080,2025-01-11,CLI-0050,Candeeiro de Mesa,Casa e Escritório,1,27.90,10,Cartão de débito,Vila Real,Norte,Concluído
LIN-000150,PED-00081,2025-05-22,CLI-0251,Hub USB-C,Eletrónica,1,44.90,10,Transferência,Sintra,Lisboa e Vale do Tejo,Concluído
LIN-000151,PED-00081,2025-05-22,CLI-0251,Garrafa Térmica,Acessórios,1,21.90,0,Transferência,Sintra,Lisboa e Vale do Tejo,Concluído
LIN-000152,PED-00082,2025-12-21,CLI-0184,Garrafa Térmica,Acessórios,2,22.56,20,Cartão de crédito,Porto,Norte,Devolvido
LIN-000153,PED-00082,2025-12-21,CLI-0184,Rato Sem Fios,Eletrónica,1,24.90,0,Cartão de crédito,Porto,Norte,Devolvido
LIN-000154,PED-00082,2025-12-21,CLI-0184,Hub USB-C,Eletrónica,1,46.25,0,Cartão de crédito,Porto,,Devolvido
LIN-000155,PED-00083,2025-09-30,CLI-0284,Webcam Full HD,Eletrónica,2,56.55,0,Cartão de crédito,Guimarães,Norte,Concluído
LIN-000156,PED-00084,2025-10-19,CLI-0075,Auriculares Bluetooth,Eletrónica,1,39.90,5,Cartão de débito,Ponta Delgada,Ilhas,Concluído
LIN-000157,PED-00085,2024-07-23,CLI-0166,"Monitor 24""",Eletrónica,2,179.90,0,Cartão de crédito,Porto,Norte,Concluído
LIN-000158,PED-00086,2024-10-27,CLI-0304,Organizador de Mesa,Casa e Escritório,1,14.45,0,Cartão de débito,Braga,Norte,Cancelado
LIN-000159,PED-00087,2024-12-30,CLI-0206,Rato Sem Fios,Eletrónica,2,24.15,0,Cartão de crédito,Leiria,Centro,Concluído
LIN-000160,PED-00087,2024-12-30,CLI-0206,Agenda Semanal,Papelaria,2,13.29,5,Cartão de crédito,Leiria,Centro,Concluído
LIN-000161,PED-00088,2024-10-01,CLI-0306,"Monitor 24""",Eletrónica,3,185.30,5,Cartão de débito,Lisboa,Lisboa e Vale do Tejo,Concluído
LIN-000162,PED-00089,2024-07-03,CLI-0232,"Monitor 24""",Eletrónica,1,179.90,5,Cartão de débito,Albufeira,Algarve,Concluído
LIN-000163,PED-00090,2024-11-04,CLI-0079,Suporte para Portátil,Acessórios,1,34.90,10,Cartão de débito,Setúbal,Lisboa e Vale do Tejo,Concluído
LIN-000164,PED-00091,2025-03-09,CLI-0301,Suporte para Portátil,Acessórios,3,33.85,15,Cartão de débito,Funchal,Ilhas,Concluído
LIN-000165,PED-00092,2025-04-12,CLI-0181,"Monitor 24""",Eletrónica,3,179.90,0,Cartão de débito,Braga,Norte,Concluído
LIN-000166,PED-00092,2025-04-12,CLI-0181,Marcadores Coloridos,Papelaria,1,8.90,5,Cartão de débito,Braga,Norte,Concluído
LIN-000167,PED-00093,2025-10-10,CLI-0393,Caderno A5,Papelaria,1,6.50,5,MB WAY,Faro,Algarve,Concluído
LIN-000168,PED-00094,2024-09-20,CLI-0174,Rato Sem Fios,Eletrónica,2,24.15,0,Cartão de crédito,Aveiro,Centro,Concluído
LIN-000169,PED-00094,2024-09-20,CLI-0174,Webcam Full HD,Eletrónica,2,54.90,0,Cartão de crédito,Aveiro,Centro,Concluído
LIN-000170,PED-00095,2024-10-12,CLI-0190,Teclado Mecânico,Eletrónica,1,82.30,0,Cartão de crédito,Aveiro,Centro,Cancelado
LIN-000171,PED-00095,2024-10-12,CLI-0190,Webcam Full HD,Eletrónica,1,54.90,5,Cartão de crédito,Aveiro,Centro,Cancelado
LIN-000172,PED-00096,2025-01-05,CLI-0227,"Monitor 24""",Eletrónica,1,185.30,0,Cartão de crédito,Leiria,Centro,Concluído
LIN-000173,PED-00097,2025-05-31,CLI-0024,Hub USB-C,Eletrónica,2,44.90,0,Dinheiro,Vila Real,Norte,Concluído
LIN-000174,PED-00098,2024-04-19,CLI-0255,Organizador de Mesa,Casa e Escritório,3,14.90,0,Cartão de crédito,Évora,Alentejo,Concluído
LIN-000175,PED-00098,2024-04-19,CLI-0255,Candeeiro de Mesa,Casa e Escritório,3,27.06,0,Cartão de crédito,Évora,Alentejo,Concluído
LIN-000176,PED-00099,2024-12-20,CLI-0040,Suporte para Portátil,Acessórios,1,33.85,20,Cartão de débito,Albufeira,Algarve,Concluído
LIN-000177,PED-00099,2024-12-20,CLI-0040,Pack Canetas Gel,Papelaria,1,5.05,5,Cartão de débito,Albufeira,Algarve,Concluído
LIN-000178,PED-00100,2025-06-16,CLI-0186,Organizador de Mesa,Casa e Escritório,1,14.90,5,Transferência,Porto,Norte,Concluído
LIN-000179,PED-00100,2025-06-16,CLI-0186,Rato Sem Fios,Eletrónica,1,24.90,0,Transferência,Porto,Norte,Concluído
